,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
0,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,6047.0,44.0,562.0,76.0,0.3252664813834641,0.9110009797431484,61.81337305633063
1,+,yanxi liu,Penn State University,cse.psu.edu,65619.0,id_9gpR5y0AAAAJ,2342.0,43.0,461.0,63.0,0.18407634339350148,0.7425249040116508,46.330062370257636
2,-,Anuj Kumar Singh,"Research Associate, Orissa University of Agriculture and Technology,Bhubaneswar",,60966.0,id_XSGHN8IAAAAJ,5696.0,35.0,238.0,55.0,0.16220220968466187,0.9154653515159541,53.883378060030786
3,-,Ziqiang Wang,Tianjin Institute of Geology and Mineral resources,,37847.0,id_tiGGCdIAAAAJ,2231.0,30.0,217.0,50.0,0.12235527539717105,0.7442751754269827,43.33152254120768
4,+,Joseph Wang,"New Mexico State university, Arizona State university, Technion, University California San  &hellip;",ucsd.edu,62607.0,id_0DEykT4AAAAJ,931.0,34.0,217.0,54.0,0.07962442877370697,0.6874765523632994,38.35504905685032
5,+,xiaoyuan chen,National Institutes of Health,nih.gov,26097.0,id_XBxXjAQAAAAJ,817.0,42.0,201.0,72.0,0.07199927619973928,0.6890957500330994,38.05475131164193
6,+,Akash Kumar,National University of Singapore,nus.edu.sg,16640.0,id_7Q6OSvsAAAAJ,3026.0,23.0,87.0,33.0,0.07117131487341054,0.7988097179928505,43.499051643313045
7,+,Junshan Zhang,"Professor of Electrical, Computer and Energy Engineering, Arizona State Univ",asu.edu,16484.0,id_UtAdFs8AAAAJ,885.0,29.0,137.0,39.0,0.06439498680317209,0.6788667549318151,37.16308708674936
8,+,Xiaoyuan Chen,National Institutes of Health,nih.gov,14600.0,id__yF5knkAAAAJ,703.0,37.0,139.0,66.0,0.05612726851344932,0.6907149477028995,37.34211081081745
9,-,Tao Jiang,"Department of Computer Science, University of California, Riverside, CA 92521, USA",,18086.0,id_3PCz1j0AAAAJ,1392.0,25.0,105.0,42.0,0.055511666419078856,0.7076182179266517,38.15649421728653
10,+,Li Zhang,"Professor of Computer Science, University of Wisconsin",cs.wisc.edu,9432.0,id_Hl5HymUAAAAJ,1338.0,17.0,47.0,26.0,0.0489572517993211,0.7052588905070833,37.71080711532022
11,+,Nikos Mastorakis,"Professor at: Techn. Univ of Sofia, BULGARIA / Univ of Cluj, ROMANIA,/ Univ Obuda,  &hellip;",tu-sofia.bg,2852.0,id_ZhxzN_4AAAAJ,1494.0,14.0,33.0,18.0,0.047527458991264426,0.6592747252747253,35.340109213299485
